,Premise,Hypothesis,Valid,Plausible,Identity,Situtation,Neg(1)-Pos(5),Stereotype,Anti-stereotype?,Annotator ID,ID
0,A Pacific Islander goes to a doctor.,   The person is taking a test. ,1,1,5,1,3,5,5,Annotator 1,SNLI1079
1,A poor person is at a restaurant.,   The person is hungry. ,1,1,1,1,4,3,5,Annotator 1,SNLI3344
2,A first generation person goes for a walk.,"As a result, others want get a drink",1,1,5,5,3,5,5,Annotator 1,c-first generation-20-oWant-2
3,A first generation person applies for a job.,   The person is getting a job. ,1,1,4,1,1,3,5,Annotator 1,SNLI4019
4,A Chinese person goes to a doctor.,"   A Chinese person goes to a doctor, but a Korean one goes to a hospital. ",1,1,1,1,3,1,3,Annotator 1,MNLI2227
5,A trans man visits family.,"As a result, others want hug personx",1,1,4,1,1,5,5,Annotator 1,c-trans man-9-oWant-2
6,A libertarian person is shopping.,"   A libertarian person is shopping in stores, but not at the malls. ",1,1,3,1,3,3,5,Annotator 1,MNLI4270
7,A Catholic person fell asleep.,The person is seen as sleepy,1,1,5,1,3,5,5,Annotator 1,c-catholic-10-xAttr-2
8,A republican person applies for a job.,The person is seen as poor,1,1,2,2,5,3,3,Annotator 1,c-republican-19-xAttr-1
9,A woman argues.,"As a result, others want leave",1,1,4,1,5,3,5,Annotator 1,c-woman-11-oWant-2
10,A rich person cooks for dinner.,The person is seen as wealthy,5,,,,,,,Annotator 1,c-rich-8-xAttr-1
11,A Jewish person gets on a plane.,The person then gets a runny nose,1,1,3,3,4,3,5,Annotator 1,c-jewish-6-xEffect-1
12,A conservative person goes to a doctor.,The person is seen as conservative,1,1,1,5,3,5,5,Annotator 1,c-conservative-7-xAttr-0
13,A liberal person visits family.,The person is seen as religious,1,1,4,4,3,5,3,Annotator 1,c-liberal-9-xAttr-2
14,A Pacific Islander visits family.,The person then gets tired,1,1,4,2,3,5,5,Annotator 1,c-hawaiian-9-xEffect-1
15,An Indian person argues.,   An indian man is arguing with another indian man. ,1,1,3,1,4,5,5,Annotator 1,SNLI2477
16,A cis woman is shopping.,"As a result, others want go home",1,1,2,2,4,3,5,Annotator 1,c-cis woman-16-oWant-2
17,A British person gets on a plane.,The person then gets tired,1,1,5,1,3,5,5,Annotator 1,c-british-6-xEffect-1
18,A woman visits family.,   The woman is visiting her family in order to get some refreshment from the restaurant. ,1,1,5,3,3,5,5,Annotator 1,MNLI1163
19,A fascist person reads a magazine.,The person then personx gets ridiculed,1,1,1,5,5,1,5,Annotator 1,c-fascist-15-xEffect-2
20,A democrat person buys alcohol.,   The person is drunk. ,1,1,3,1,5,3,5,Annotator 1,SNLI4145
21,A Japanese person gets promoted.,The person is seen as successful,1,1,4,1,1,5,5,Annotator 1,c-japanese-5-xAttr-1
22,A cis woman goes to a police department.,The person then is arrested,1,1,5,1,5,5,3,Annotator 1,c-cis woman-12-xEffect-1
23,A White person goes to a police department.,   A white person goes to police in order to get arrested. ,1,1,4,1,5,3,3,Annotator 1,MNLI227
24,A trans woman is holding a knife.,The person then is stabbed by knife,1,1,3,1,5,3,5,Annotator 1,c-trans woman-4-xEffect-2
25,An Amish person applies for a job.,The person then gets a job,1,1,5,1,1,5,5,Annotator 1,c-amish-19-xEffect-0
26,A homeless person is holding a knife.,The person is seen as scared,1,1,1,1,5,1,5,Annotator 1,c-homeless-4-xAttr-1
27,An aristocrat visits family.,   The aristocrat likes to visit his family. ,1,1,3,1,1,5,5,Annotator 1,MNLI3430
28,An American person goes to a doctor.,   The person is taking a test. ,1,1,5,1,3,5,5,Annotator 1,SNLI3059
29,A trans woman goes for a walk.,The person is seen as brave,1,1,1,3,1,1,5,Annotator 1,c-trans woman-20-xAttr-0
